ch1_site,ch1_transect,ch1_species
INT2,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
INT3,1,Rhus ovata
1,6,Rhus ovata
1,6,Rhus ovata
1,6,Rhus ovata
1,4,Rhus ovata
1,3,Salvia apiana
2,4,Salvia apiana
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,1,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,2,Salvia leucophylla
1,3,Salvia leucophylla
1,3,Salvia leucophylla
1,3,Salvia leucophylla
1,3,Salvia leucophylla
1,3,Salvia leucophylla
1,3,Salvia leucophylla
2,1,Salvia leucophylla
2,1,Salvia leucophylla
2,1,Salvia leucophylla
2,1,Salvia leucophylla
2,2,Salvia leucophylla
2,2,Salvia leucophylla
2,2,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,4,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,5,Salvia leucophylla
1,6,Salvia leucophylla
2,5,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
2,6,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT1,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT2,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
INT3,1,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,6,Salvia leucophylla
1,4,Sambucus mexicana
1,5,Solanum xanti
INT3,1,Solanum xanti
2,4,Solanum xanti
1,5,Stephanomeria virgata
2,1,Stephanomeria virgata
1,4,Stephanomeria virgata
INT1,1,Stephanomeria virgata
INT2,1,Stephanomeria virgata
2,2,Stephanomeria virgata
INT3,1,Stephanomeria virgata
1,5,Stipa lepida
INT1,1,Stipa lepida
INT2,1,Stipa lepida
INT3,1,Stipa lepida
INT2,1,Thysanocarpus curvipes
2,3,Thysanocarpus curvipes
2,2,Thysanocarpus curvipes
1,5,Thysanocarpus curvipes
1,2,Trifolium gracilentum
1,1,Trifolium gracilentum
2,2,Trifolium gracilentum
1,5,Trifolium gracilentum
2,1,Trifolium gracilentum
2,4,unknown1 forb
2,4,unknown2 forb
1,5,unknown4 forb (Aster Family)
1,6,unknown4 forb (Aster Family)
2,6,unknown5 shrub
INT2,1,Uropappus lindleyi
1,4,Uropappus lindleyi
1,4,Uropappus lindleyi
